mesto,avtor,naslov,producent,leto,zalozba,album
445,The Stooges,I Wanna Be Your Dog,John Cale,69,Elektra <br />Did Not Chart,"""/music/music-album-reviews/the-stooges-180002/""  rel=""nofollow""  target=""_blank""  >The Stooges"
444,Elvis Presley,Love Me Tender,Steve Sholes,56,RCA <br />23 weeks; No. 1,"""/music/music-album-reviews/elvis-30-1-hits-190668/""  rel=""nofollow""  target=""_blank""  >Elvis: 30 #1 Hits"
443,The Rolling Stones,Beast of Burden,The Glimmer Twins,78,Rolling Stones <br />13 weeks; No. 8,"""/music/music-album-reviews/some-girls-197022/""  rel=""nofollow""  target=""_blank""  >Some Girls"
442,Love,Alone Again Or,"Arthur Lee, Bruce Botnick",68,Elektra <br />3 weeks; No. 99,Forever Changes
441,Wilson Pickett,Mustang Sally,Jerry Wexler,66,Atlantic <br />9 weeks; No. 23,The Very Best of Wilson Pickett
440,Led Zeppelin,Ramble On,Page,69,Atlantic <br />Non-Single,"""/music/music-album-reviews/led-zeppelin-ii-182340/""  rel=""nofollow""  target=""_blank""  >Led Zeppelin II"
439,Gladys Knight and the Pips,Midnight Train to Georgia,Tony Camillo,73,Buddah <br />19 weeks; No. 1,Essential Collection
438,Fats Domino,Ain't It a Shame,Bartholomew,55,Imperial <br />13 weeks; No. 10,The Fats Domino Jukebox:  20 Greatest Hits
437,The Clash,(White Man) In Hammersmith Palais,The Clash,79,Epic  <br />Did Not Chart,The Clash
436,Solomon Burke,Everybody Needs Somebody to Love,Berns,64,Atlantic  <br />8 weeks; No. 58,The Very Best of Solomon Burke
435,U2,New Year's Day,Steve Lillywhite,83,Island  <br />12 weeks; No. 53,"""/music/music-album-reviews/war-105402/""  rel=""nofollow""  target=""_blank""  >War"
434,Deep Purple,Smoke on the Water,Deep Purple,73,Warner Bros. <br />16 weeks; No. 4,"""/music/music-album-reviews/machine-head-255329/""  rel=""nofollow""  target=""_blank""  >Machine Head"
433,Rolling Stones,Tumbling Dice,Jimmy Miller,72,Rolling Stones  <br />10 weeks; No. 7,Exile on Main Street
432,Green Day,American Idiot,"Rob Cavallo, Green Day",04,Reprise  <br />20 weeks; No. 61,"""/music/music-album-reviews/american-idiot-184555/""  rel=""nofollow""  target=""_blank""  >American Idiot"
431,The Smiths,"William, It Was Really Nothing",John Porter,84,Sire <br />Did Not Chart,"""/music/music-album-reviews/louder-than-bombs-2-252100/""  rel=""nofollow""  target=""_blank""  >Louder Than Bombs"
430,Elvis Presley,Blue Suede Shoes,Steve Sholes,56,RCA <br />12 weeks; No. 20,2nd to None
429,Billy Joel,Piano Man,Michael Stewart,73,Columbia <br />14 weeks; No. 25,"""/music/music-album-reviews/piano-man-2-247746/""  rel=""nofollow""  target=""_blank""  >Piano Man"
428,The Isley Brothers,It's Your Thing,"R. Isley, R. Isley, O. Isley",69,T-Neck  <br />14 weeks; No. 2,The Ultimate Isley Brothers
427,Dr. Dre,Nuthin' But a 'G' Thang,Dr. Dre,93,Death Row <br />27 weeks; No. 2,"""/music/music-album-reviews/the-chronic-250626/""  rel=""nofollow""  target=""_blank""  >The Chronic"
426,"Crosby, Stills and Nash",Suite: Judy Blue Eyes,"David Crosby, Stills, Graham Nash",69,Atlantic <br />12 weeks; No. 21,"Crosby, Stills and Nash"
425,N.W.A,Fuck tha Police,"Dr. Dre, Yella",89,Priority <br />Non-Single,"""/music/music-album-reviews/straight-outta-compton-reissue-189836/""  rel=""nofollow""  target=""_blank""  >Straight Outta Compton"
424,The Notorious B.I.G.,Juicy,"Sean ""Puffy"" Combs, Poke",94,Bad Boy  <br />20 weeks; No. 27,Ready to Die
423,Don Henley,The Boys of Summer,"Henley, Campbell, Danny Kortchmar, Greg Ladanyi",84,Geffen  <br />22 weeks; No. 5,Building the Perfect Beast
422,The Four Tops,Can't Help Myself,"Holland, Dozier, Holland",65,Motown <br />14 weeks; No. 1,The Ultimate Collection
421,The Coasters,Young Blood,"Leiber, Stoller",57,Atco <br />11 weeks; No. 1,The Very Best of the Coasters
420,Little Richard,The Girl Can't Help It,"Robert ""Bumps"" Blackwell",57,Specialty  <br />8 weeks; No. 49,The Georgia Peach
419,Bobbie Gentry,Ode to Billie Joe,"Kelly Gordon, Bobby Paris",67,Capitol <br />14 weeks; No. 1,Greatest Hits
418,Donna Summer,I Feel Love,"Moroder, Bellotte",77,Casablanca <br />23 weeks; No. 6,The Donna Summer Anthology
