mesto,avtor,naslov,producent,leto,zalozba,album
111,Otis Redding,I've Been Loving You too Long (to Stop Now),"Jim Stewart, Steve Cropper",65,Volt <br />11 weeks; No. 21,"""/music/music-album-reviews/otis-blue-otis-redding-sings-soul-collectors-edition-99992/""  rel=""nofollow""  target=""_blank""  >Otis Blue: Otis Redding Sings Soul "
110,Van Morrison,Brown Eyed Girl,Bert Berns,67,Bang <br />16 weeks; No. 10, Blowin&apos; Your Mind 
109,Prince,Little Red Corvette,Prince,83,Warner <br />22 weeks; No. 6,"""/music/music-album-reviews/1999-2-111958/""  rel=""nofollow""  target=""_blank""  >1999 "
108,Buddy Holly and the Crickets,Not Fade Away,Petty,57,Brunswick <br />20 weeks; No. 10,Greatest Hits 
107,Bob Dylan,Mr. Tambourine Man,Tom Wilson,65,Columbia <br />Non-single,"""/music/lists/500-greatest-albums-of-all-time-19691231/bringing-it-all-back-home-bob-dylan-19691231""  rel=""nofollow""  target=""_blank""  >Bringing it All Back Home "
106,Simon and Garfunkel,The Boxer,"Roy Halee, Simon, Art Garfunkel",69,Columbia <br />10 weeks; No. 7,"""/music/music-album-reviews/bridge-over-troubled-water-113652/""  rel=""nofollow""  target=""_blank""  >Bridge Over Troubled Water "
105,Stevie Wonder,Living for the City,Wonder,73,Tamla <br />17 weeks; No. 8,"""/music/music-album-reviews/innervisions-246460/""  rel=""nofollow""  target=""_blank""  >Innervisions"
104,Donna Summer,Hot Stuff,"Giorgio Moroder, Bellotte",79,Casablanca<br />21 weeks; No. 1,Bad Girls
103,Gene Vincent and His Blue Caps,Be-Bop-A-Lula,Ken Nelson,56,Capitol <br />20 weeks; No. 7,The Screaming End: The Best of Gene Vincent and His Blue Cap
102,The Jimi Hendrix Experience,Voodoo Child (Slight Return),Chas Chandler,68,Reprise<br />Non-single,"""/music/music-album-reviews/electric-ladyland-183197/""  rel=""nofollow""  target=""_blank""  >Electric Ladyland"
101,The Rolling Stones,You Can't Always Get What You Want,Jimmy Miller,69,London<br />8 weeks; No. 42,"""/music/music-album-reviews/let-it-bleed-182846/""  rel=""nofollow""  target=""_blank""  >Let It Bleed "
100,Gnarls Barkley,Crazy,Danger Mouse,06,Downtown <br />24 weeks; No. 2,St. Elsewhere
99,Creedence Clearwater Revival,Fortunate Son,Fogerty,69,Fantasy<br />14 weeks; No. 14,"""/music/music-album-reviews/willy-and-the-poor-boys-248067/""  rel=""nofollow""  target=""_blank""  >Willy and the Poor Boys</a> "
98,Al Green,Love and Happiness,Willie Mitchell,72,Hi<br />12 weeks; No. 3,"""/music/music-album-reviews/im-still-in-love-with-you-2-248493/""  rel=""nofollow""  target=""_blank""  >I&apos;m Still in Love With You "
97,Chuck Berry,Roll Over Beethoven,Leonard and Phil Chess,56,Chess<br />5 weeks; No. 29,The Anthology
96,Jerry Lee Lewis,Great Balls of Fire,Sam Phillips,57,Sun<br />21 weeks; No. 2,"""/music/music-album-reviews/18-original-sun-greatest-hits-198457/""  rel=""nofollow""  target=""_blank""  >Original Sun Greatest Hits</a> "
95,Carl Perkins,Blue Suede Shoes,Sam Phillips,56,Sun <br />21 weeks; No. 2,Original Sun Greatest Hits
94,Little Richard,"Good Golly, Miss Molly",Blackwell,58,Specialty <br />15 weeks; No. 10,The Georgia Peach
93,U2,I Still Haven't Found What I'm Looking For,"Daniel Lanois, Brian Eno",87,Island <br />17 weeks; No. 1,The Joshua Tree
92,Ramones,Blitzkrieg Bop,Craig Leon,76,Sire<br />Did not chart,"""/music/music-album-reviews/elvis-30-1-hits-190668/""  rel=""nofollow""  target=""_blank""  >Elvis 30 #1 Hits"
90,The Five Satins,In the Still of the Night,The Five Satins,56,Standord <br />19 weeks; No. 24,The Five Satins: Their Greatest Hits
89,The Mamas and the Papas,California Dreamin',Lou Adler,65,Dunhill <br />17 weeks; No. 4,"""/music/lists/500-greatest-albums-of-all-time-19691231/if-you-can-believe-your-eyes-and-ears-the-mamas-and-the-papas-19691231""  rel=""nofollow""  target=""_blank""  >If You Can Believe Your Eyes and Ears</a> "
88,The Temptations,My Girl,"Robinson, White",65,Gordy <br />13 weeks; No. 1,The Temptations Sing Smokey 
87,Johnny Cash,Ring of Fire,Don Law,63,Columbia <br />13 weeks; No. 17,The Man in Black: His Greatest Hits
86,Bruce Springsteen,Thunder Road,"Springsteen, Jon Landau, Mike Appel",75,Columbia <br />Non-single,Born to Run
85,Patsy Cline,Crazy,Owen Bradley,61,Decca<br />11 weeks; No. 9,Patsy Cline&apos;s Greatest Hits
84,The Police,Every Breath You Take,Hugh Padgham,83,A&M<br />22 weeks; No 1,"""/music/music-album-reviews/synchronicity-103347/""  rel=""nofollow""  target=""_blank""  >Synchronicity"
83,The Beatles,Norwegian Wood (This Bird Has Flown),George Martin,65,Capitol<br />Non-single,"""/music/lists/500-greatest-albums-of-all-time-19691231/rubber-soul-the-beatles-19691231""  rel=""nofollow""  target=""_blank""  > Rubber Soul "
82,Fats Domino,Blueberry Hill,Dave Bartholomew,56,Imperial<br />27 weeks; No. 2,The Fats Domino Jukebox
81,Marvin Gaye,I Heard It Through the Grapevine,Whitfield,68,Tamla<br />15 weeks; No. 1,Every Motown Hit
80,The Kinks,You Really Got Me,Shel Talmy,64,Reprise<br />15 weeks; No. 7,Kinks
79,The Byrds,Mr. Tambourine Man,Terry Melcher,65,Columbia <br />13 weeks; No. 1,"""/music/lists/500-greatest-albums-of-all-time-19691231/mr-tambourine-man-the-byrds-19691231""  rel=""nofollow""  target=""_blank""  >Mr. Tambourine Man"
78,James Brown,I Got You (I Feel Good),Brown,65,King <br />12 weeks; No. 3,James Brown 50th Anniversary Collection
77,Elvis Presley,Mystery Train,Phillips,55,Sun<br />Did not chart,Sunrise
76,The Beatles,Strawberry Fields Forever,George Martin,67,Capitol<br />9 weeks; No. 8,Magical Mystery Tour
75,Led Zeppelin,Whole Lotta Love,Jimmy Page,69,Atlantic <br />15 weeks; No. 4,"""/music/music-album-reviews/led-zeppelin-ii-182340/""  rel=""nofollow""  target=""_blank""  >Led Zeppelin II</a> "
74,Eddie Cochran,Summertime Blues,Capehart,58,Liberty <br />16 weeks; No. 8, Somethin&apos; Else
73,Stevie Wonder,Superstition,"Wonder, Malcolm Cecil, Robert Margouleff",72,Tamla<br />16 weeks; No. 1,"""/music/music-album-reviews/talking-book-89695/""  rel=""nofollow""  target=""_blank""  > Talking Book "
72,The Beach Boys,California Girls,Wilson,65,Capitol<br />11 weeks; No. 3,The Very Best of the Beach Boys
71,James Brown,Papa's Got A Brand New Bag,Brown,66,King,50th Anniversary Collection
70,Dionne Warwick,Walk On By,"Bacharach, David",64,"Scepter <br />13 weeks, No. 6",The Dionne Warwick Collection: Her All-Time Greatest Hits&#xA0;
69,Roy Orbison,Crying,Fred Foster,61,Monument<br />16 weeks; No. 2,For the Lonely: 18 Greatest Hits
68,Bob Dylan,Tangled Up in Blue,Dylan,75,"Columbia <br />7 weeks, No. 31",Blood on the Tracks
67,Elvis Presley,Jailhouse Rock,Steve Sholes,57,"RCA<br />27 weeks, No. 1"," <a  href=""/music/music-album-reviews/elvis-30-1-hits-190668/""  rel=""nofollow""  target=""_blank""  ><strong>Elvis 30 #1 Hits</strong>"
66,Bob Marley and the Wailers,Redemption Song,Chris Blackwell,80,Island <br />Did not chart,"""/music/music-album-reviews/uprising-182433/""  rel=""nofollow""  target=""_blank""  >Uprising"
65,Cream,Sunshine of Your Love,Felix Pappalardi,68,Atco<br /> 26 weeks; No. 5,"""/music/music-album-reviews/disraeli-gears-99816/""  rel=""nofollow""  target=""_blank""  >Disraeli Gears"
64,The Beatles,She Loves You,George Martin,63,Swan<br /> 15 weeks; No. 1,The Beatles 1 
63,Buffalo Springfield,For What It's Worth,"Charles Greene, Brian Stone",67,"Atco <br />15 weeks, No. 7",Buffalo Springfield
62,Bo Diddley,Bo Diddley,Phil and Leonard Chess,55,Checker<br />Did not chart,His Best: The Chess 50th Anniversary Collection
61,Jerry Lee Lewis,Whole Lotta Shakin' Going On,Jack Clement,57,Sun<br />29 weeks; No. 3,Original Sun Greatest Hits
60,Al Green,Let's Stay Together,Mitchell,71,Hi <br />16 weeks; No. 1,"""/music/music-album-reviews/lets-stay-together-187330/""  rel=""nofollow""  target=""_blank""  >Let&apos;s Stay Together "
59,Bob Dylan,The Times They Are A-Changin,Bob Johnston,64,Columbia<br /> Did not chart,The Times They Are A-Changin&apos;
58,Michael Jackson,Billie Jean,"Jackson, Quincy Jones",83,Epic <br /> 7 weeks; No. 1,"""/music/music-album-reviews/thriller-106975/""  rel=""nofollow""  target=""_blank""  >Thriller"
57,Procol Harum,Whiter Shade of Pale,Denny Cordell,67,A&M<br /> 12 weeks; No. 5,Greatest Hits
56,The Sex Pistols,Anarchy in the U.K.,"Chris Thomas, Bill Price",77,Warner Bros.<br />Non-single,"""/music/music-album-reviews/never-mind-the-bollocks-heres-the-sex-pistols-200377/""  rel=""nofollow""  target=""_blank""  >Never Mind the Bollocks, Here&apos;s the Sex Pistols"
55,Little Richard,Long Tall Sally,Blackwell,56,Specialty<br />19 weeks; No. 6,The Georgia Peach
54,The Kingsmen,Louie Louie,Ken Chase,63,Jerden <br />16 weeks; No. 2,The Best of the Kingsmen
53,Percy Sledge,When a Man Loves a Woman,"Marlin Greene, Quin Ivy",66,Atlantic <br />13 weeks; No. 1,It Tears Me Up: The Best of Percy Sledge
52,Prince,When Doves Cry,Prince,84,Warner Bros. <br />21 weeks; No. 1,Purple Rain 
51,Grandmaster Flash and the Furious Five,The Message,Sylvia Robinson,82,Sugar Hill<br />7 weeks; No. 62,The Best of Sugar Hill Records
50,Smokey Robinson and the Miracles,The Tracks of My Tears,Robinson,65,Tamla<br />12 weeks; No. 16,"""/music/music-album-reviews/hotel-california-199158/""  rel=""nofollow""  target=""_blank""  >Hotel California"
48,Simon and Garfunkel,Bridge Over Troubled Water,"Art Garfunkel, Roy Halee, Simon",70,Columbia<br />14 weeks; No. 1,"""/music/music-album-reviews/bridge-over-troubled-water-113652/""  rel=""nofollow""  target=""_blank""  >Bridge Over Troubled Water"
47,The Jimi Hendrix Experience,All Along the Watchtower,Hendrix,68,Reprise<br />9 weeks; No. 20,"""/music/music-album-reviews/heroes-111044/""  rel=""nofollow""  target=""_blank""  >Heroes "
45,Elvis Presley,Heartbreak Hotel,Steve Sholes,56,RCA<br />27 weeks; No. 1,"""/music/music-album-reviews/elvis-30-1-hits-190668/""  rel=""nofollow""  target=""_blank""  >Elvis 30 #1 Hits"
44,Ray Charles,Georgia on My Mind,Sid Feller,60,ABC-Paramount<br />13 weeks; No. 1,Ultimate Hits Collection
43,Little Richard,Tutti-Frutti,"Robert ""Bumps"" Blackwell",55,Specialty<br />12 weeks; No. 17,The Georgia Peach
42,The Kinks,Waterloo Sunset,Ray Davies,68,Reprise<br />Did not chart,Something Else by the Kinks
41,The Band,The Weight,John Simon,68,Capitol<br />7 weeks; No. 63,Music From Big Pink
40,Martha Reeves and the Vandellas,Dancing in the Street,Stevenson,64,<br />14 weeks; No. 2, The Ultimate Collection
39,Buddy Holly and the Crickets,That'll Be the Day,Petty,57,Brunswick<br />1 week; No. 1, Let It Bleed
37,Bob Marley,"No Woman, No Cry","Chris Blackwell, Marley and the Wailers",75,Island<br />Did not chart,Natty Dread
36,U2,One,"Brian Eno, Daniel Lanois",91,Island<br />20 weeks; No. 10,Achtung Baby
35,The Doors,Light My Fire,Paul Rothchild,67,Elektra <br />17 weeks; No. 1,"""/music/music-album-reviews/the-doors-114926/""  rel=""nofollow""  target=""_blank""  >The Doors "
34,The Righteous Brothers,You've Lost That Lovin' Feelin',Spector,64,Philles <br />16 weeks; No. 1," <a  href=""/music/lists/500-greatest-albums-of-all-time-19691231/proud-mary-the-best-of-ike-and-tina-turner-ike-and-tina-turner-19691231""  rel=""nofollow""  target=""_blank""  >Proud Mary: The Best of Ike and Tina Turner"
32,The Rolling Stones,Sympathy for the Devil,Jimmy Miller,68,London <br />Non-single,"""/music/albumreviews/beggars-banquet-19970617""  rel=""nofollow""  target=""_blank""  >Beggar&apos;s Banquet"
31,Led Zeppelin,Stairway to Heaven,Page,71,Atlantic<br />Non-single,Led Zeppelin IV
30,Johnny Cash,I Walk the Line,Sam Phillips,56,Sun<br />22 weeks; No. 17,The Complete Original Sun Singles
29,The Beatles,Help!,George Martin,65,Capitol<br />13 weeks; No. 1,"""/music/lists/500-greatest-albums-of-all-time-19691231/help-the-beatles-19691231""  rel=""nofollow""  target=""_blank""  >Help!"
28,The Beatles,A Day in the Life,George Martin,67,Capitol<br />Non-single, Sgt. Pepper&apos;s Lonely Hearts Club Band 
27,Derek and the Dominos,Layla,"Tom Dowd, the Dominos",70,Atco<br />15 weeks; No. 10,"""/music/music-album-reviews/layla-and-other-assorted-love-songs-2-252585/""  rel=""nofollow""  target=""_blank""  >Layla and Other Assorted Love Songs"
26,Otis Redding,(Sittin' on) the Dock of the Bay,Cropper,68,Volt<br />16 weeks; No. 1,"""/music/music-album-reviews/the-dock-of-the-bay-181466/""  rel=""nofollow""  target=""_blank""  >The Dock of the Bay"
25,The Beach Boys,God Only Knows,Wilson,66,Capitol<br />8 weeks; No. 39,Pet Sounds
24,The Impressions,People Get Ready,Johnny Pate,65,ABC-Paramount<br />8 weeks; No. 14,The Very Best of the Impressions 
23,The Beatles,In My Life,George Martin,65,Capitol<br />Non-single,Rubber Soul
22,The Ronettes,Be My Baby,Spector,63,<br />13 weeks; No. 2,The Best of the Ronettes
21,Bruce Springsteen,Born to Run,"Springsteen, Mike Appel",75,Columbia <br />11 weeks; No. 23,"""/music/music-album-reviews/born-to-run-87675/""  rel=""nofollow""  target=""_blank""  >Born to Run "
20,The Beatles,Let It Be,George Martin,70,Apple <br />14 weeks; No. 1,Let It Be
19,Elvis Presley,Hound Dog,Steve Sholes,56,RCA <br />28 weeks; No. 1,"""/music/music-album-reviews/elvis-30-1-hits-190668/""  rel=""nofollow""  target=""_blank""  >Elvis 30 #1 Hits"
18,Chuck Berry,Maybellene,Leonard and Phil Chess,55,Chess <br />11 weeks; No. 5,The Anthology 
17,The Jimi Hendrix Experience,Purple Haze,Chas Chandler,67,Reprise <br />8 weeks; No. 65,Are You Experienced?
16,The Beatles,I Want to Hold Your Hand,George Martin,63,Capitol <br />15 weeks; no. 1,"""/music/lists/500-greatest-albums-of-all-time-19691231/meet-the-beatles-the-beatles-19691231""  rel=""nofollow""  target=""_blank""  >Meet the Beatles! "
15,The Clash,London Calling,Guy Stevens,80,Epic <br />Did not chart,London Calling
14,Bob Dylan,Blowin' in the Wind,John Hammond,63,Columbia <br />Did not chart,The Freewheelin&apos; Bob Dylan
13,The Beatles,Yesterday,George Martin,65,Capitol <br />11 weeks; No. 1,Help!
12,Sam Cooke,A Change Is Gonna Come,"Hugo Peretti, Luigi Creatore",64,RCA <br />7 weeks; No. 31,Portrait of a Legend 1951-1964
11,The Who,My Generation,Shel Talmy,65,Decca<br />5 weeks; No. 74,"""/music/lists/500-greatest-albums-of-all-time-19691231/the-who-sings-my-generation-the-who-19691231""  rel=""nofollow""  target=""_blank""  >My Generation"
10,Ray Charles,What'd I Say,"Ahmet Ertegun, Jerry Wexler",59,Atlantic <br />15 weeks; No. 6,The Ultimate Hits Collection
9,Nirvana,Smells Like Teen Spirit,Butch Vig,91,DGC <br />20 weeks; No. 6,Nevermind
8,The Beatles,Hey Jude,George Martin,68,Apple <br />19 weeks; No. 1,1
7,Chuck Berry,Johnny B. Goode,Leonard and Phil Chess,58,Chess<br />15 weeks; No. 8,Pet Sounds
5,Aretha Franklin,Respect,Jerry Wexler,67,Atlantic <br />12 weeks; No. 1,"""/music/lists/500-greatest-albums-of-all-time-19691231/i-never-loved-a-man-the-way-i-love-you-aretha-franklin-19691231""  rel=""nofollow""  target=""_blank""  >I Never Loved a Man the Way I Love You"
4,Marvin Gaye,What's Going On,Gaye,71,Tamla <br />13 weeks; No. 2,"""/music/music-album-reviews/whats-going-on-251498/""  rel=""nofollow""  target=""_blank""  >What&apos;s Going On"
3,John Lennon,Imagine,"Lennon, Phil Spector, Yoko Ono",71,Apple <br />9 weeks; No. 3,Imagine
2,The Rolling Stones,(I Can't Get No) Satisfaction,Andrew Loog Oldham,65,London<br />14 weeks; No. 1,&quot;Ho-o-o-ow does it fe-e-e-el?&quot;
