skladba,avtor
116,Mick Jagger
116,Keith Richards
115,Sam Cooke
114,Gerry Goffin
114,Carole King
113,Arthur Crudup
112,Hank Williams
111,Jerry Butler
111,Otis Redding
110,Van Morrison
109,Prince
108,Buddy Holly
108,Norman Petty
107,Bob Dylan
106,Paul Simon
105,Stevie Wonder
104,Pete Bellotte
104,Harold Faltermeyer
104,Keith Forsey
103,Gene Vincent
103,Bill Davis
102,Jimi Hendrix
101,Mick Jagger
101,Keith Richards
100,Brian Burton
100,Thomas Calloway
100,Gianfranco Reverberi
100,Gian Piero Reverberi
99,John Fogerty
98,Al Green
98,"Mabon ""Teenie"" Hodges"
97,Chuck Berry
96,Otis Blackwell
96,Jack Hammer
95,Carl Perkins
94,"Robert ""Bumps"" Blackwell"
94,John Marascalco
93,Bono
92, The Ramones
91,Mark James
90,Fred Parris
89,John and Michelle Phillips
88,Smokey Robinson
88,Ronald White
87,June Carter
87,Merle Kilgore
86,Bruce Springsteen
85,Willie Nelson
84,Sting
83,John Lennon
83,Paul McCartney
82,Al Lewis
82,Larry Stock
82,Vincent Rose
81,Barrett Strong
81,Norman Whitfield
80,Ray Davies
79,Bob Dylan
78,James Brown
77,Junior Parker
77,Sam Phillips
76,John Lennon
76,Paul McCartney
75,Willie Dixon
75,Led Zeppelin
74,Eddie Cochran
74,Jerry Capehart
73,Stevie Wonder
72,Brian Wilson
72,Mike Love
71,James Brown
70,Burt Bacharach
70,Hal David
69,Joe Melson
69,Roy Orbison
68,Bob Dylan
67,Jerry Leiber
67,Mike Stoller
66,Bob Marley
65,Jack Bruce
65,Pete Brown
65,Eric Clapton
64, John Lennon
64,Paul McCartney 
63,Stephen Stills
62,Ellas McDaniel
61,Dave Williams
61,Roy Hall
60,Al Green
60,Al Jackson Jr.
60,Willie Mitchell
59,Bob Dylan
58,Michael Jackson
57,Keith Reid
57,Gary Brooker
56,Paul Cook
56,Steve Jones
56,Glen Matlock
56,Johnny Rotten
55,"Robert ""Bumps"" Blackwell"
55,Enotris Johnson
55,Little Richard
54,Richard Berry
53,Calvin Lewis
53,Andrew Wright
52,Prince
51,Duke Bootee
51,Melle Mel
50,Pete Moore
50,Smokey Robinson
50,Marv Tamplin
49,Don Felder
49,Glenn Frey
49,Don Henley
48,Paul Simon
47,Bob Dylan
46,David Bowie
46,Brian Eno
45,Mae Boren Axton
45,Tommy Durden
45,Elvis Presley
44,Hoagy Carmichael
44,Stuart Gorrell
43,Dorothy La Bostrie
43,Richard Penniman
43,Joe Lubin
42,Ray Davies
41,Robbie Robertson
40,Marvin Gaye
40,Ivy Hunter
40,"William ""Mickey"" Stevenson"
39,Jerry Allison
39,Buddy Holly
39,Norman Petty
38,Mick Jagger
38,Keith Richards
37, Vincent Ford
37,Bob Marley
36,Bono
36,the Edge
36,Adam Clayton
36,Larry Mullen Jr.
35,Robby Krieger
35,John Densmore
35,Jim Morrison
35,Ray Manzarek
34,Phil Spector
34,Barry Mann
34,Cynthia Weil
33,Phil Spector
33,Jeff Barry
33,Ellie Greenwich
32,Mick Jagger
32,Keith Richards
31,Jimmy Page
31,Robert Plant
30,Johnny Cash
29,John Lennon
29,Paul McCartney
28,John Lennon
28,Paul McCartney
27,Eric Clapton
27,Jim Gordon
26,Otis Redding
26,Steve Cropper
25,Brian Wilson
25,Tony Asher
24,Curtis Mayfield
23,John Lennon
23,Paul McCartney
22,Jeff Barry
22,Ellie Greenwich
22,Phil Spector
21,Bruce Springsteen
20,John Lennon
20,Paul McCartney
19,Jerry Leiber
19,Mike Stoller
18,Chuck Berry
17,Jimi Hendrix
16,John Lennon
16,Paul McCartney
15,Mick Jones
15,Joe Strummer
14,Bob Dylan
13,John Lennon
13,Paul McCartney
12,Sam Cooke
11,Pete Townshend
10,Ray Charles
9,Kurt Cobain
8,John Lennon
8,Paul McCartney
7,Chuck Berry
6,Brian Wilson
6,Mike Love
5,Otis Redding
4,Marvin Gaye
4,Renaldo Benson
4,Al Cleveland
3,John Lennon
2, Mick Jagger
2,Keith Richards
1,Bob Dylan
