skladba,producent
97,Leonard and Phil Chess
96,Sam Phillips
95,Sam Phillips
94,Blackwell
93,Daniel Lanois
93,Brian Eno
92,Craig Leon
91,Chips Moman
91,Felton Jarvis
91,Elvis Presley
90,The Five Satins
89,Lou Adler
88,Robinson
88,White
87,Don Law
86,Bruce Springsteen
86,Jon Landau
86,Mike Appel
85,Owen Bradley
84,Hugh Padgham
83,George Martin
82,Dave Bartholomew
81,Whitfield
80,Shel Talmy
79,Terry Melcher
78,James Brown
77,Phillips
76,George Martin
75,Jimmy Page
74,Capehart
73,Stevie Wonder
73,Malcolm Cecil
73,Robert Margouleff
72,Wilson
71,James Brown
70,Bacharach
70,David
69,Fred Foster
68,Bob Dylan
67,Steve Sholes
66,Chris Blackwell
65,Felix Pappalardi
64, George Martin 
63,Charles Greene
63,Brian Stone
62,Phil and Leonard Chess
61,Jack Clement
60,Mitchell
59,Bob Johnston
58,Michael Jackson
58,Quincy Jones
57,Denny Cordell
56,Chris Thomas
56,Bill Price
55,Blackwell
54,Ken Chase
53,Marlin Greene
53,Quin Ivy
52,Prince
51,Sylvia Robinson
50,Smokey Robinson
49,Bill Szymczyk
48,Art Garfunkel
48,Roy Halee
48,Paul Simon
47,Jimi Hendrix
46,Tony Visconti
45,Steve Sholes
44,Sid Feller
43,"Robert ""Bumps"" Blackwell"
42,Ray Davies
41,John Simon
40,Stevenson
39,Petty
38,Jimmy Miller
37,Chris Blackwell
37,Marley and the Wailers
36,Brian Eno
36,Daniel Lanois
35,Paul Rothchild
34,Spector
33,Spector
32,Jimmy Miller
31,Page
30,Sam Phillips
29,George Martin
28,George Martin
27,Tom Dowd
27,the Dominos
26,Cropper
25,Wilson
24,Johnny Pate
23,George Martin
22,Spector
21,Bruce Springsteen
21,Mike Appel
20,George Martin
19,Steve Sholes
18,Leonard and Phil Chess
17,Chas Chandler
16,George Martin
15,Guy Stevens
14,John Hammond
13,George Martin
12,Hugo Peretti
12,Luigi Creatore
11,Shel Talmy
10,Ahmet Ertegun
10,Jerry Wexler
9,Butch Vig
8,George Martin
7,Leonard and Phil Chess
6,Wilson
5,Jerry Wexler
4,Gaye 
3,John Lennon
3,Phil Spector
3,Yoko Ono
2,Andrew Loog Oldham
1,Tom Wilson 
